ID;DD;MM;ZZ;PP;DEPTO;MUNICIPIO;NOMBRE_PUESTO;MUJERES;HOMBRES;TOTAL;MESAS;COD.COM;COMUNA/LOCALIDAD;DIRECCION
1990;12;608;2;2;CESAR;LA JAGUA DE IBIRICO;ESC URB TIMOTEA MENESES SED IE LCG;906;664;1.570;3;;ESPECIAL: ESC URB TIMOTEA MENESES SED IE LCG;CALLE 6 No 8-20
6349;64;2;2;4;PUTUMAYO;PUERTO ASIS;ESC URBANA MIXTA 20 DE JULIO;2.663;2.821;5.484;8;1;COMUNA 1 NORTE;CRA 26 No 25 - 00
5750;31;79;6;1;VALLE;PALMIRA;ESC. ALFONSO CABAL MADRIÑAN;223;218;441;1;5;COMUNA 5;CLL 40 #12-11 BR PROVIDENCIA
5754;31;79;6;5;VALLE;PALMIRA;ESC. ALFONSO LOPEZ PUMAREJO;315;305;620;1;5;COMUNA 5;CRA 16#32-02 PARQUE BOSQUE M/PAL
552;1;163;2;2;ANTIOQUIA;LA CEJA;ESC. ALFONSO URIBE JARAMILLO;876;755;1.631;3;;ESPECIAL: ESC. ALFONSO URIBE JARAMILLO;KR 16 # 25 - 26
739;1;283;2;1;ANTIOQUIA;URRAO;ESC. ANEXA NORMAL SAGRADA FLIA;788;953;1.741;3;;ESPECIAL: ESC. ANEXA NORMAL SAGRADA FLIA;CARRERA 32 No 27A-35
5734;31;79;3;2;VALLE;PALMIRA;ESC. ANTONIA SANTOS;190;127;317;1;3;COMUNA 3;KR 38 #37 A-47 BR LA EMILIA
5723;31;79;1;6;VALLE;PALMIRA;ESC. ANTONIO LIZARAZO;434;386;820;2;1;COMUNA 1;CLL 54C No 42 -12 URB CAIMITOS
5121;28;220;1;1;SUCRE;SAN ONOFRE;ESC. ANTONIO NARIÑO;1.724;1.998;3.722;6;;ESPECIAL: ESC. ANTONIO NARIÑO;CR 20 CLL 16 ESQ
5801;31;97;2;1;VALLE;SEVILLA;ESC. ARMANDO ROMERO;451;546;997;2;;ESPECIAL: ESC. ARMANDO ROMERO;CRA 48 CLL 62 ESQ.
5727;31;79;2;2;VALLE;PALMIRA;ESC. CARLOS ARTURO RODRIGUEZ;309;150;459;1;2;COMUNA 2;CL 51 #34B-118 BR LA BENEDICTA
4634;26;1;10;4;QUINDIO;ARMENIA;ESC. DE ADM. Y MERCADOTECNIA EAM;309;314;623;1;10;COMUNA 10 QUIMBAYA;AV BOLIVAR No 3-11
5808;31;106;1;3;VALLE;TULUA;ESC. DEBORA GUERRERO LOZANO;71;75;146;1;;ESPECIAL: ESC. DEBORA GUERRERO LOZANO;DIAG. BASE AEREA ANTINARCOTICOS - 30 MTS
5762;31;79;9;2;VALLE;PALMIRA;ESC. DOMINGO IRURITA;101;101;202;1;7;COMUNA 7;CLL 23 No 33A-37 B/ LOS ROBLES
5720;31;79;1;3;VALLE;PALMIRA;ESC. EDUARDO SANTOS;125;124;249;1;1;COMUNA 1;CL 74 #24-00 BR MONTECLARO
5874;31;124;2;2;VALLE;ZARZAL;ESC. EFRAIN VARELA VACA;951;839;1.790;3;;ESPECIAL: ESC. EFRAIN VARELA VACA;CR 10 # 12-15
5760;31;79;8;2;VALLE;PALMIRA;ESC. EL PARAISO;148;140;288;1;6;COMUNA 6;CRA 5C #25 T-17 BR EL PARAISO
5673;31;55;2;1;VALLE;FLORIDA;ESC. EMETERIO PIEDRAHITA;870;1.272;2.142;4;4;COMUNA 4;CL 12 #15-20
5738;31;79;3;6;VALLE;PALMIRA;ESC. ENELIA RIVERA;86;99;185;1;3;COMUNA 3;KR40 CL30 ESQ BR RIVERA ESCOBAR
5609;31;31;1;2;VALLE;CANDELARIA;ESC. FCO DE PAULA SANTANDER;3.166;3.152;6.318;10;;ESPECIAL: ESC. FCO DE PAULA SANTANDER;CRA 8 No. 11- 55 B LA CRUZ
4579;25;100;1;3;NORTE DE SAN;VILLA DEL ROSARIO;ESC. FCO. DE PAULA SANTANDER;922;916;1.838;3;;ESPECIAL: ESC. FCO. DE PAULA SANTANDER;CRA 7 # 2N-38 BARRIO SANTANDER
5638;31;34;3;3;VALLE;CARTAGO;ESC. FRANCISCO DE PAULA SANTANDER;656;661;1.317;2;5;COMUNA 5;CALLE 6 No 3 -40
5872;31;124;1;2;VALLE;ZARZAL;ESC. FRANCISCO JOSE DE CALDAS;588;559;1.147;2;;ESPECIAL: ESC. FRANCISCO JOSE DE CALDAS;CR 8 ENTRE CLL 6 Y 7
5244;29;40;1;2;TOLIMA;CHAPARRAL;ESC. GABRIELA MISTRAL;820;694;1.514;3;2;COMUNA 2;CALLE 10 NO.3-10 BARRIO OBRERO
5744;31;79;4;5;VALLE;PALMIRA;ESC. GREGORIO HERNANDEZ;182;187;369;1;4;COMUNA 4;CL 34 #31-71 BR COLOMBIA
5719;31;79;1;2;VALLE;PALMIRA;ESC. HAROLD EDDER ZAMORANO;733;676;1.409;3;1;COMUNA 1;KR 32 #61-96 BR ZAMORANO
5735;31;79;3;3;VALLE;PALMIRA;ESC. JORGE ELIECER GAITAN;618;649;1.267;2;3;COMUNA 3;CL 41 #40-41 BR LA EMILIA
5338;31;1;1;1;VALLE;CALI;ESC. JOSE ACEVEDO Y GOMEZ;941;1.502;2.443;4;1;COMUNA 1;AV 5 OESTE No.30-164
5662;31;49;1;2;VALLE;EL CERRITO;ESC. JOSE CELESTINO MUTIS;1.038;1.053;2.091;4;;ESPECIAL: ESC. JOSE CELESTINO MUTIS;CARRERA 6 No. 3.52 BARRIO BUENOS AIRES
6103;48;10;1;1;LA GUAJIRA;MAICAO;ESC. JOSE DOMINGO BOSCAN;1.701;1.554;3.255;5;1;COMUNA 1;CL 7 No 11-20
5718;31;79;1;1;VALLE;PALMIRA;ESC. JOSE MANUEL GROOT;547;673;1.220;2;1;COMUNA 1;CLL 65 No 31C- 95 BARRIO ZAMORANO
5746;31;79;5;1;VALLE;PALMIRA;ESC. JOSE MARIA CALVACHE;148;171;319;1;5;COMUNA 5;CRA 9 E #32-14 BR SAN JOSE
5726;31;79;2;1;VALLE;PALMIRA;ESC. JUAN PABLO II;1.135;1.649;2.784;4;2;COMUNA 2;CL 47 #40-41 BR JUAN PABLO II
5743;31;79;4;4;VALLE;PALMIRA;ESC. JULIO CESAR ARCE;207;190;397;1;4;COMUNA 4;CL 38 #32-126 BR ALFONSO LOPEZ
606;1;205;2;2;ANTIOQUIA;PUERTO BERRIO;ESC. LA ISLA;1.767;1.877;3.644;6;;ESPECIAL: ESC. LA ISLA;KR 3 # 61-14 ESQUINA
602;1;205;1;2;ANTIOQUIA;PUERTO BERRIO;ESC. LA MILLA;383;391;774;2;;ESPECIAL: ESC. LA MILLA;KR 6 # 41-32
5749;31;79;5;5;VALLE;PALMIRA;ESC. LAS PALMERAS;720;652;1.372;2;5;COMUNA 5;CLL 35 CRA 3 ESQ BR LAS PALMERAS
4671;26;60;2;2;QUINDIO;MONTENEGRO;ESC. LOS FUNDADORES;536;556;1.092;2;;ESPECIAL: ESC. LOS FUNDADORES;CR 11 # 24-01 Brr. URIBE
5748;31;79;5;4;VALLE;PALMIRA;ESC. LUIS FERNANDO VALLEJO;229;227;456;1;5;COMUNA 5;CLL 33 # 1E-85 BR MARIA CANO
5124;28;220;2;1;SUCRE;SAN ONOFRE;ESC. MADRE BERNARDA;288;323;611;1;;ESPECIAL: ESC. MADRE BERNARDA;CR 13 CLL 20
5246;29;40;2;1;TOLIMA;CHAPARRAL;ESC. MARCO TULIO ALVIRA;431;543;974;2;3;COMUNA 3;CARRERA 1 ORIENTE NO.8-10 BARRIO CARMENZA ROCHA
5765;31;79;9;5;VALLE;PALMIRA;ESC. MARIA ANTONIA PENAGOS;248;266;514;1;7;COMUNA 7;CRA 31 No 15 A-41 BR CHAPINERO
5799;31;97;1;2;VALLE;SEVILLA;ESC. MARIA INMACULADA;1.409;1.387;2.796;5;;ESPECIAL: ESC. MARIA INMACULADA;CL 51 #48-16 CENTRO
547;1;163;1;1;ANTIOQUIA;LA CEJA;ESC. MARIA JOSEFA MARULANDA;1.953;2.119;4.072;6;;ESPECIAL: ESC. MARIA JOSEFA MARULANDA;CL 14 # 21 - 45
5759;31;79;8;1;VALLE;PALMIRA;ESC. MARIA MONTESORI;421;394;815;2;6;COMUNA 6;CLL 24 KR 8 ESQ BR EL TRIUNFO
5753;31;79;6;4;VALLE;PALMIRA;ESC. MERCEDES ABREGO;659;653;1.312;2;5;COMUNA 5;CRA 13 #36-09 BR SAN PEDRO
5733;31;79;3;1;VALLE;PALMIRA;ESC. MIGUEL ANGEL MERCADO;127;122;249;1;3;COMUNA 3;CL 37 A #37 A-00 BR LA EMILIA
1949;12;150;2;2;CESAR;AGUSTIN CODAZZI;ESC. MIXTA LAS FLORES;1.171;1.043;2.214;4;;ESPECIAL: ESC. MIXTA LAS FLORES;KR. 11 A No. 12 A 130
5084;28;40;1;3;SUCRE;COROZAL;ESC. NORMAL NAL. SUPERIOR;992;915;1.907;3;;ESPECIAL: ESC. NORMAL NAL. SUPERIOR;CL 32 #30-30 B. LA CONCEPCION
577;1;178;1;2;ANTIOQUIA;MARINILLA;ESC. NORMAL SUP RAFAEL M. GIR;858;708;1.566;3;;ESPECIAL: ESC. NORMAL SUP RAFAEL M. GIR;CL 29 # 38-71 BR LAS MARGA
5873;31;124;2;1;VALLE;ZARZAL;ESC. NORMAL SUPERIOR;1.489;1.549;3.038;5;;ESPECIAL: ESC. NORMAL SUPERIOR;CR 11 # 11-55
2421;15;109;3;1;CUNDINAMARCA;GIRARDOT;ESC. NORMAL SUPERIOR MARIA AUX;564;748;1.312;2;4;NORTE;CLL 38 No 7A-14
684;1;250;1;1;ANTIOQUIA;SANTA ROSA DE OSOS;ESC. NORMAL SUPERIOR PEDRO JUSTO BERRIO;1.135;1.067;2.202;4;;ESPECIAL: ESC. NORMAL SUPERIOR PEDRO JUSTO BERRIO;CARRERA 30 No. 31 - 36
4161;23;67;1;6;NARIÑO;IPIALES;ESC. NRO. 3 DE NIÑAS;117;100;217;1;;ESPECIAL: ESC. NRO. 3 DE NIÑAS;KR 4 N 8-30 I.E.DEL SUR SD2 LI
1232;5;28;2;4;BOLIVAR;MAGANGUE;ESC. OFICIAL CAMILO TORRES;275;229;504;1;5;COMUNA 5;BR. CAMILO TORRES-SC LA CANCHA
5752;31;79;6;3;VALLE;PALMIRA;ESC. PAULO VI;449;440;889;2;5;COMUNA 5;CLL 39 #15-26 BR SAN PEDRO
5672;31;55;1;4;VALLE;FLORIDA;ESC. POLICARPA SALAVARRIETA;796;831;1.627;3;3;COMUNA 3;KR 16 #6-70
2338;15;76;1;8;CUNDINAMARCA;FACATATIVA;ESC. PRIM. SD SAN CRIST. JOHN F KENNEDY;231;242;473;1;;ESPECIAL: ESC. PRIM. SD SAN CRIST. JOHN F KENNEDY;CRA 1 A SUR No 10A - 04
4666;26;60;1;1;QUINDIO;MONTENEGRO;ESC. RAFAEL URIBE;276;225;501;1;;ESPECIAL: ESC. RAFAEL URIBE;CR 7 NO. 13-57
1186;5;7;1;1;BOLIVAR;ARJONA;ESC. REPUBLICA DE COLOMBIA;965;1.000;1.965;3;1;COMUNA 1;BARRIO LAS DELICIAS CALLE 33
5643;31;34;4;5;VALLE;CARTAGO;ESC. RIGOBERTO OROZCO;720;690;1.410;3;6;COMUNA 6;CLL 21 No 2-20
5728;31;79;2;3;VALLE;PALMIRA;ESC. ROSA VIRGINIA;361;319;680;1;2;COMUNA 2;KR 32 #46-10 BR ESTONIA
5722;31;79;1;5;VALLE;PALMIRA;ESC. ROSA ZARATE DE PEÑA;333;339;672;1;1;COMUNA 1;CL 63 #38-06 BR CORONADO
2100;13;13;1;2;CORDOBA;CIENAGA DE ORO;ESC. SAN JOSE;907;884;1.791;3;;ESPECIAL: ESC. SAN JOSE;CL 4 KR 8 ESQ
5737;31;79;3;5;VALLE;PALMIRA;ESC. SANTA BARBARA;362;352;714;2;3;COMUNA 3;KR 40 #31A-27 BR SANTA BARBARA
1951;12;150;99;91;CESAR;AGUSTIN CODAZZI;ESC. SANTA CLARA;228;212;440;1;;ESPECIAL: ESC. SANTA CLARA;CGTO SICARARE-RESGUARDO INDIGENA NANAECHPO
432;1;106;4;1;ANTIOQUIA;CHIGORODO;ESC. SIMON BOLIVAR;2.985;3.068;6.053;9;;ESPECIAL: ESC. SIMON BOLIVAR;KR 99 # 97-12 BR. CASA BLANCA
5751;31;79;6;2;VALLE;PALMIRA;ESC. SOR MARIA LUISA MOLINA;186;142;328;1;5;COMUNA 5;CRA 10 #39-00 BR LA LIBERTAD
4624;26;1;8;4;QUINDIO;ARMENIA;ESC. SUP. DE ADMINISTRACION PUBLICA ESAP;101;121;222;1;7;COMUNA 7CAFETERO;CRA 12 CLL 16 - 45
2386;15;94;2;4;CUNDINAMARCA;FUSAGASUGA;ESC. SUPERIOR DE ADMON PUBLICA-ESAP;417;901;1.318;2;4;COMUNA SUR ORIENTAL;CRA 2 No 20-02
5766;31;79;10;1;VALLE;PALMIRA;ESC. SUSANA LOPEZ DE VALENCIA;654;630;1.284;2;7;COMUNA 7;CRA 26 #11-48 BR SESQUICENTENARIO
5731;31;79;2;6;VALLE;PALMIRA;ESC. TERESA CALDERON DE LASSO;373;328;701;2;2;COMUNA 2;CL 42 #16-60 BR LA COMETA
5736;31;79;3;4;VALLE;PALMIRA;ESC. TULIO RAFFO;476;433;909;2;3;COMUNA 3;CL 37A #42A-110 BR EL PRADO
671;1;237;2;2;ANTIOQUIA;SAN PEDRO DE URABA;ESC. URB. INTEGRD HERNANDEZ CASTILLO;3.355;2.981;6.336;10;;ESPECIAL: ESC. URB. INTEGRD HERNANDEZ CASTILLO;CRA. 51 ENTRE CL 43 y 44 BARRIO URABA
427;1;103;3;4;ANTIOQUIA;COPACABANA;ESC. URB. LA MISERICORDIA;376;404;780;2;;ESPECIAL: ESC. URB. LA MISERICORDIA;CLL 48 No 66A-15
4567;25;93;1;3;NORTE DE SAN;TIBU;ESC. URBANA INTEGRADA MARCO FIDEL SUAREZ;281;276;557;1;;ESPECIAL: ESC. URBANA INTEGRADA MARCO FIDEL SUAREZ;CLL 6 # 12 -123 BARRIO SAN MARTIN
4437;25;1;7;1;NORTE DE SAN;CUCUTA;ESC. URBANA JOSE CELESTINO MUTIS No 31;1.484;1.371;2.855;5;7;COMUNA 7 NOR OCCIDENTAL;CLL 1 AV 1 Y 2 BARRIO CHAPINERO
3964;21;25;2;3;MAGDALENA;EL BANCO;ESC. URBANA MIXTA LAS PALMAS SEDE No 2;367;322;689;1;3;COMUNA 3 NORTE;CLL 7 CARRETERA EL BANCO CHIMICHAGUA
5245;29;40;1;3;TOLIMA;CHAPARRAL;ESC. VILLA DEL ROCIO;2.555;2.661;5.216;8;2;COMUNA 2;CALLE 13A NO.13-48 BARRIO VILLA DEL ROCIO
5745;31;79;4;6;VALLE;PALMIRA;ESC.LA NIÑA MARIA;111;84;195;1;4;COMUNA 4;CARRERA 26 No. 37 - 01 BARRIO OBRERO
4412;25;1;4;1;NORTE DE SAN;CUCUTA;ESC.MARCO FIDEL SUAREZ;354;346;700;2;4;COMUNA 4 ORIENTAL;CL. 11 #. 2 - 27 BR. SAN LUIS
4444;25;1;8;1;NORTE DE SAN;CUCUTA;ESC.No38 TEODORO GUTIERREZ C.;828;842;1.670;3;8;COMUNA 8 OCCIDENTAL;MZ 6 LT 9 BARRIO LA VICTORIA
5875;31;124;2;3;VALLE;ZARZAL;ESC.POLICARPA SALAVARRIETA;680;655;1.335;2;;ESPECIAL: ESC.POLICARPA SALAVARRIETA;CLL 9 CON CR 15 ESQUINA
3078;16;1;8;A3;BOGOTA. D.C.;BOGOTA. D.C.;ESC.TECNOLOGICA INST. TECNICO CENTRAL;337;270;607;1;8;LOCALIDAD 8 KENNEDY;CLL 6 C # 94A - 25
4983;27;160;4;2;SANTANDER;PIEDECUESTA;ESCENARIO DEPORTIVO MARIE POUSSEPIN;225;204;429;1;;ESPECIAL: ESCENARIO DEPORTIVO MARIE POUSSEPIN;CARRERA 6A No 5 49 BARRIO HOYO CHIQUITO
5107;28;160;99;34;SUCRE;SAMPUES;ESCOBAR ARRIBA;195;186;381;1;;ESPECIAL: ESCOBAR ARRIBA;I.E. INDIGENA TECNICO AGROPECUARIO
2566;15;247;2;12;CUNDINAMARCA;SOACHA;ESCUE NORMAL SUPERIOR MARIA AUXILIADORA;526;536;1.062;2;2;COMUNA 2;CALLE 12 NRO 7 53 CENTRO
4518;25;54;2;7;NORTE DE SAN;LOS PATIOS;ESCUELA 11 DE NOVIEMBRE;314;996;1.310;2;;ESPECIAL: ESCUELA 11 DE NOVIEMBRE;CLL 19 No 8 - 75 ONCE DE NOVIEMBRE
5493;31;1;29;4;VALLE;CALI;ESCUELA 25 DE JULIO;233;199;432;1;19;COMUNA 19;CLL 6A # 59A - 51
4529;25;61;1;7;NORTE DE SAN;OCAÑA;ESCUELA ADOLFO MILANES;249;264;513;1;3;COMUNA 3 SURORIENTAL OLAYA H.;CLL 10 No 6 - 69 LA MILANES
5611;31;31;2;2;VALLE;CANDELARIA;ESCUELA ALFONSO LOPEZ PUMAREJO;939;100;1.039;2;;ESPECIAL: ESCUELA ALFONSO LOPEZ PUMAREJO;CL 7 No. 9- 21 B OBRERO
6267;52;35;2;2;META;GRANADA;ESCUELA ALFONSO MONTOYA PAVA;1.296;1.038;2.334;4;;ESPECIAL: ESCUELA ALFONSO MONTOYA PAVA;CLL 24 CR 9 ESQUINA
5478;31;1;27;1;VALLE;CALI;ESCUELA ALVARO ESCOBAR NAVIA;510;502;1.012;2;18;COMUNA 18;CRA 73D #1B-65
5393;31;1;10;3;VALLE;CALI;ESCUELA ANA MARIA VERNAZA;512;526;1.038;2;7;COMUNA 7;CL 72B #8B-37
5691;31;64;2;5;VALLE;JAMUNDI;ESCUELA ANGEL MARIA CAMACHO;5.345;5.622;10.967;16;;ESPECIAL: ESCUELA ANGEL MARIA CAMACHO;CLL 7 No 7-37
5608;31;31;1;1;VALLE;CANDELARIA;ESCUELA ANTONIO NARIÑO;360;397;757;2;;ESPECIAL: ESCUELA ANTONIO NARIÑO;CL 13 No. 8- 28 B- LA CRUZ
5785;31;82;2;4;VALLE;PRADERA;ESCUELA BELLO HORIZONTE;905;918;1.823;3;;ESPECIAL: ESCUELA BELLO HORIZONTE;CLL 11 KR 15 ESQUINA
5779;31;82;1;2;VALLE;PRADERA;ESCUELA BENJAMIN VALENCIA;317;237;554;1;;ESPECIAL: ESCUELA BENJAMIN VALENCIA;CLL 5 #4-77
5294;29;73;2;3;TOLIMA;LIBANO;ESCUELA BLANCA SAENZ;300;229;529;1;4;COMUNA 4;CLL 9 CON CR 9 ESQ.
4471;25;4;1;2;NORTE DE SAN;ABREGO;ESCUELA BOLIVAR;137;115;252;1;;ESPECIAL: ESCUELA BOLIVAR;CRA.5 CALLE 11
5355;31;1;3;4;VALLE;CALI;ESCUELA BRISAS DE LOS ALAMOS;964;939;1.903;3;2;COMUNA 2;AV 2 BN CL 72 AN
4517;25;54;2;6;NORTE DE SAN;LOS PATIOS;ESCUELA BUENA ESPERANZA;139;137;276;1;;ESPECIAL: ESCUELA BUENA ESPERANZA;CALLE 15 AV 15K LA ESPERANZA
3735;19;1;5;1;HUILA;NEIVA;ESCUELA CALIXTO LEIVA;316;325;641;1;7;COMUNA 7;CARRERA 17 No. 6-40
2380;15;94;1;8;CUNDINAMARCA;FUSAGASUGA;ESCUELA CAMILO TORRES;364;366;730;2;2;COMUNA ORIENTAL;CRA 3 No 10 - 33
5500;31;1;30;5;VALLE;CALI;ESCUELA CAMILO TORRES;231;250;481;1;19;COMUNA 19;KR 24 #10A-98
5358;31;1;4;2;VALLE;CALI;ESCUELA CARLOS A SARDI;227;202;429;1;3;COMUNA 3;KR 5 #2-69
5392;31;1;10;2;VALLE;CALI;ESCUELA CARLOS HOLGUIN SARDI;465;473;938;2;7;COMUNA 7;KR 7 D BIS CL 64
2652;15;328;2;2;CUNDINAMARCA;VILLETA;ESCUELA CARLOS LLERAS;211;185;396;1;;ESPECIAL: ESCUELA CARLOS LLERAS;CARRERA 6 No. 7 - 47 BARRIO PEÑA NEGRA
1115;5;1;12;3;BOLIVAR;CARTAGENA;ESCUELA CIUDAD DE TUNJA;350;370;720;2;2;LOC. 2 LA VIRGEN Y TURISTICA;CLL 32C NO 37-32 CLL DEL MEDIO ALCIBIA
696;1;256;2;1;ANTIOQUIA;SANTUARIO;ESCUELA CLARA ZULUAGA;840;1.156;1.996;3;;ESPECIAL: ESCUELA CLARA ZULUAGA;CLL 50a #40c-65
6263;52;35;1;2;META;GRANADA;ESCUELA CLUB DE LEONES;523;587;1.110;2;;ESPECIAL: ESCUELA CLUB DE LEONES;CR 14 BIS CLL 7 ESQUINA
2730;16;1;1;57;BOGOTA. D.C.;BOGOTA. D.C.;ESCUELA COLOMBIANA DE REHABILITACION;632;629;1.261;2;1;LOCALIDAD 1 USAQUEN;AV CRA 15 No 151 - 68
4869;27;80;0;2;SANTANDER;FLORIAN;ESCUELA CONCENTRACION COLOMBIA;0;0;0;0;;ESPECIAL: ESCUELA CONCENTRACION COLOMBIA;CRA 2 4 51 BARRIO PLAZA NUEVA ESC CONCENTRACION CO
682;1;247;99;1;ANTIOQUIA;SANTA BARBARA;ESCUELA DAMASCO;67;68;135;1;;ESPECIAL: ESCUELA DAMASCO;CORREGIMIENTO DAMASCO
947;3;16;0;2;ATLANTICO;JUAN DE ACOSTA;ESCUELA DE NIÑAS SD 3;828;789;1.617;3;;ESPECIAL: ESCUELA DE NIÑAS SD 3;CLL 7 No 2 - 122
1585;9;1;98;3;CALDAS;MANIZALES;ESCUELA DE TRABAJO LA LINDA LOS ZAGALES;18;68;86;1;;ESPECIAL: ESCUELA DE TRABAJO LA LINDA LOS ZAGALES;KILOMETRO 1 DEBAJO DE VILLA PILAR
1675;11;1;1;3;CAUCA;POPAYAN;ESCUELA DE YANACONAS;576;621;1.197;2;3;COMUNA 3;KR 3N CON CL 24N
4510;25;54;1;6;NORTE DE SAN;LOS PATIOS;ESCUELA DOCE DE OCTUBRE;126;90;216;1;;ESPECIAL: ESCUELA DOCE DE OCTUBRE;CLL 34 No 3E -120 BARRIO DOCE DE OCTUBRE
5275;29;58;1;2;TOLIMA;GUAMO;ESCUELA EL CARMEN;379;356;735;2;;ESPECIAL: ESCUELA EL CARMEN;CLL 3 N 2-92
6105;48;10;1;3;LA GUAJIRA;MAICAO;ESCUELA EL CARMEN;1.259;1.138;2.397;4;2;COMUNA 2;CL 14 No 21-25
4432;25;1;6;4;NORTE DE SAN;CUCUTA;ESCUELA EL CERRITO;133;125;258;1;6;COMUNA 6 NORTE;CRA 4 # 4 - 59 EL CERRITO
2484;15;169;1;4;CUNDINAMARCA;MOSQUERA;ESCUELA EL DIAMANTE;245;263;508;1;;ESPECIAL: ESCUELA EL DIAMANTE;CRA 4 No 4-91
6348;64;2;2;3;PUTUMAYO;PUERTO ASIS;ESCUELA EL JARDIN;1.110;960;2.070;3;1;COMUNA 1 NORTE;CRA 20A No 30-03 BR. JARDIN
2275;15;31;1;1;CUNDINAMARCA;CAJICA;ESCUELA EL MISTERIO;628;707;1.335;2;;ESPECIAL: ESCUELA EL MISTERIO;VEREDA RIO GRANDE SECTOR EL MISTERIO
6347;64;2;2;2;PUTUMAYO;PUERTO ASIS;ESCUELA EL PRADO;485;432;917;2;1;COMUNA 1 NORTE;BARRIO EL PRADO
3585;17;1;1;5;CHOCO;QUIBDO;ESCUELA EL REPOSO;364;281;645;1;1;COMUNA 1;BARRIO EL REPOSO
3732;19;1;4;6;HUILA;NEIVA;ESCUELA EL ROSARIO;336;325;661;1;6;COMUNA 6;CLL 2 SUR No 14-90
2449;15;139;2;2;CUNDINAMARCA;LA CALERA;ESCUELA EL SALITRE;452;432;884;2;;ESPECIAL: ESCUELA EL SALITRE;EL SALITRE
748;1;295;1;1;ANTIOQUIA;YARUMAL;ESCUELA EPIFANIO MEJIA;37;37;74;1;;ESPECIAL: ESCUELA EPIFANIO MEJIA;KR 20 # 15- 46
5428;31;1;18;4;VALLE;CALI;ESCUELA FENALCO ASTURIAS;419;417;836;2;12;COMUNA 12;CL 44 #25A-12
5409;31;1;14;2;VALLE;CALI;ESCUELA FERNANDO VELASCO;764;729;1.493;3;10;COMUNA 10;CL 23 #44A-16
5883;40;1;2;3;ARAUCA;ARAUCA;ESCUELA FLOR DE MI LLANO;1.262;1.213;2.475;4;5;COMUNA 5 JUAN JOSE RONDON;CRA 9 No 4 -65 SUR
3726;19;1;3;8;HUILA;NEIVA;ESCUELA FRANCISCA BORRERO;11.890;12.443;24.333;35;4;COMUNA 4;CRA 13 # 1D - 14
5499;31;1;30;4;VALLE;CALI;ESCUELA FRANCISCO JOSE DE CALDAS;669;623;1.292;2;19;COMUNA 19;CR 4 OESTE # 12A-59
3718;19;1;2;3;HUILA;NEIVA;ESCUELA GABINO CHARRY;449;2.570;3.019;5;3;COMUNA 3;CLL 14 #10 - 71
5604;31;28;2;3;VALLE;CAICEDONIA;ESCUELA GABRIELA MISTRAL;213;179;392;1;;ESPECIAL: ESCUELA GABRIELA MISTRAL;CRA 15 No 11-50
1126;5;1;14;1;BOLIVAR;CARTAGENA;ESCUELA GABRIELA SAN MARTIN;1.018;961;1.979;3;2;LOC. 2 LA VIRGEN Y TURISTICA;CLL 33 NO 77-48 OLAYA
5416;31;1;15;4;VALLE;CALI;ESCUELA GENERAL CARLOS ALBAN;646;669;1.315;2;10;COMUNA 10;CL 18 A #24 - 65
4672;26;60;2;3;QUINDIO;MONTENEGRO;ESCUELA GENERAL SANTANDER;400;463;863;2;;ESPECIAL: ESCUELA GENERAL SANTANDER;CR 4 # 25-09
5501;31;1;30;6;VALLE;CALI;ESCUELA GRAN COLOMBIA;386;421;807;2;19;COMUNA 19;KR 24 #7-74
3727;19;1;4;1;HUILA;NEIVA;ESCUELA GUILLERMO MONTENEGRO;790;751;1.541;3;5;COMUNA 5;CL 11 # 18 - 37
2379;15;94;1;7;CUNDINAMARCA;FUSAGASUGA;ESCUELA GUSTAVO VEGA;587;647;1.234;2;2;COMUNA ORIENTAL;CALLE 2 No 2 25 E COMUNA ORIENTAL
5292;29;73;2;1;TOLIMA;LIBANO;ESCUELA HERACLIO LASTRA;1.459;1.692;3.151;5;3;COMUNA 3;CR 1 CON CLL 4 ESQ.
5800;31;97;1;3;VALLE;SEVILLA;ESCUELA HUGO TORO ECHEVERRY;386;382;768;2;;ESPECIAL: ESCUELA HUGO TORO ECHEVERRY;KR 47 #52-51 CENTRO
3748;19;1;6;7;HUILA;NEIVA;ESCUELA HUMBERTO TAFUR;496;456;952;2;9;COMUNA 9;CRA 6 # 85 - 21
5001;27;169;0;2;SANTANDER;PUERTO WILCHES;ESCUELA INDUSTRIAL 20 DE JULIO;3.516;3.804;7.320;11;;ESPECIAL: ESCUELA INDUSTRIAL 20 DE JULIO;CALLE 7 No 7 - 133
2405;15;103;0;2;CUNDINAMARCA;GACHETA;ESCUELA JHON F KENNEDY;534;612;1.146;2;;ESPECIAL: ESCUELA JHON F KENNEDY;CLL 4 # 5-23
5117;28;200;2;3;SUCRE;SAN MARCOS;ESCUELA JHON F. KENNEDY;502;451;953;2;;ESPECIAL: ESCUELA JHON F. KENNEDY;CL 20 KR 29 ESQUINA
5573;31;22;1;3;VALLE;BUGA;ESCUELA JHON F. KENNEDY;619;648;1.267;2;1;COMUNA 1;SEDE JHON F. KENNEDY
1704;11;1;7;4;CAUCA;POPAYAN;ESCUELA JHON F.KENEDY JOSE MAR;335;344;679;1;8;COMUNA 8;CR 23 NO 7-00
